Name,email,wikipedia_url,info,is_wiki
Jeffrey D. Sachs,Not found,https://en.wikipedia.org/wiki/Jeffrey_Sachs,"Jeffrey David Sachs is an American economist and public policy analyst, currently a professor at Columbia University and director of the Center for Sustainable Development. He has made significant contributions to sustainable and economic development, serving as a special advisor to the UN Secretary-General from 2001 to 2018 and as an advocate for the Sustainable Development Goals. Sachs co-founded the Millennium Promise Alliance and directed the UN Millennium Project, focusing on poverty alleviation and health policy. He has authored several influential books and received numerous awards for his work, which has sparked both acclaim and criticism, particularly regarding his economic strategies in post-communist countries.",1
Joseph S. Nye,Not found,https://en.wikipedia.org/wiki/Joseph_Nye,"Joseph Samuel Nye Jr. was an influential American political scientist known for co-founding the international relations theory of neoliberalism alongside Robert Keohane, particularly through their seminal work ""Power and Interdependence."" He introduced the concept of soft power and the idea of smart power, which emphasizes the strategic combination of hard and soft power. Nye served as the Dean of the John F. Kennedy School of Government at Harvard University and held the title of University Distinguished Service Professor, emeritus. His contributions to international relations have earned him numerous accolades, including the Woodrow Wilson Prize and the Order of the Rising Sun from Japan. Nye was actively involved in various policy boards and commissions, including the Foreign Affairs Policy Board, and remained a prominent figure in discussions on global politics until his passing in 2025.",1
Howard A. Stone,Not found,N/A,N/A,0
Lawrence Katz,Not found,N/A,N/A,0
Zhigang Suo (锁志刚）,Not found,N/A,N/A,0
Jeffrey M. Karp,Not found,https://en.wikipedia.org/wiki/Jeffrey_Karp,"Jeffrey Karp is a Canadian biomedical engineer and Professor of Medicine at Harvard Medical School, affiliated with Brigham and Women's Hospital and the Harvard Stem Cell Institute, as well as the Massachusetts Institute of Technology. He earned his degree in chemical engineering from McGill University and a Ph.D. in Chemical and Biomedical Engineering from the University of Toronto. Karp's research focuses on medical adhesives inspired by gecko adhesion and has led to the founding of several companies, including Gecko Biomedical and Frequency Therapeutics. He has received multiple awards for his mentoring and innovation, including recognition as one of Technology Review's top innovators under 35 and the Young Investigator award from the Society for Biomaterials.",1
David Cutler,Not found,N/A,N/A,0
Ali Khademhosseini,Not found,https://en.wikipedia.org/wiki/Ali_Khademhosseini,"Ali Khademhosseini is an Iranian-born Canadian-American engineer and entrepreneur, currently serving as the CEO and director of the Terasaki Institute for Biomedical Innovation in Los Angeles. He previously held a multi-departmental professorship at UCLA, where he contributed significantly to bioengineering, radiology, and chemical engineering. Khademhosseini's research focuses on biomaterials, tissue engineering, and microfluidics, with notable contributions including the development of Gelatin Methacryloyl (GelMA) hydrogels and multi-organ-on-a-chip platforms. He has published around 1,000 scientific articles, earning over 148,000 citations, and has received numerous awards for his interdisciplinary work, including the Materials Research Society Mid Career Research Award and the Mustafa Prize. In addition to his academic achievements, he is active in technology translation, having co-founded companies like Obsidio Medical and Omeat Inc.",1
Nadine Gaab,Not found,N/A,"The Gaab Lab at Harvard Graduate School of Education specializes in developmental cognitive neuroscience, focusing on language and reading development across typical and atypical learning trajectories. Their research investigates the neurobiological origins of reading skills and learning disabilities, aiming to inform educational practices and policies through innovative methodologies and community outreach.",0
Daniel J. Jacob,Not found,N/A,N/A,0
Peter Libby,Not found,https://en.wikipedia.org/wiki/Peter_Libby,"Peter Libby is an American physician specializing in atherosclerosis, cardiology, and preventive cardiology. He currently serves as the Mallinckrodt Professor of Medicine at Harvard Medical School and is affiliated with Brigham and Women's Hospital. His notable contributions to the field have significantly advanced the understanding of cardiovascular diseases.",1
